"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C38141","50V 100nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0805","LCSC","C38141","FH (Guangdong Fenghua Advanced Tech)","0805B104K500NT","C0805","100nF","50V","X7R","±10%","12644591","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805B104K500NT_C38141.pdf"
"C49678","50V 100nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0805","LCSC","C49678","YAGEO","CC0805KRX7R9BB104","C0805","100nF","50V","X7R","±10%","8454700","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0805KRX7R9BB104_C49678.pdf"
"C282732","50V 100nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0805","LCSC","C282732","CCTC","TCC0805X7R104K500DT","C0805","100nF","50V","X7R","±10%","7598300","https://datasheet.lcsc.com/lcsc/2304140030_CCTC-TCC0805X7R104K500DT_C282732.pdf"
"C1713","16V 10uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C0805","LCSC","C1713","Samsung Electro-Mechanics","CL21A106KOQNNNE","C0805","10uF","16V","X5R","±10%","7470589","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL21A106KOQNNNE_C1713.pdf"
"C15850","25V 10uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C0805","LCSC","C15850","Samsung Electro-Mechanics","CL21A106KAYNNNE","C0805","10uF","25V","X5R","±10%","5472023","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850.pdf"
"C1779","25V 4.7uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C0805","LCSC","C1779","Samsung Electro-Mechanics","CL21A475KAQNNNE","C0805","4.7uF","25V","X5R","±10%","2415696","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL21A475KAQNNNE_C1779.pdf"
"C36576","50V 2.2nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2.2nF","symbol:C0402","footprint:C0805","LCSC","C36576","FH (Guangdong Fenghua Advanced Tech)","0805B222K500NT","C0805","2.2nF","50V","X7R","±10%","2224700","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805B222K500NT_C36576.pdf"
"C77071","6.3V 22uF X5R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","22uF","symbol:C0402","footprint:C0805","LCSC","C77071","Murata Electronics","GRM21BR60J226ME39L","C0805","22uF","6.3V","X5R","±20%","2181606","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM21BR60J226ME39L_C77071.pdf"
"C215803","50V 1uF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0805","LCSC","C215803","FH (Guangdong Fenghua Advanced Tech)","0805B105K500NT","C0805","1uF","50V","X7R","±10%","1963794","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805B105K500NT_C215803.pdf"
"C28323","50V 1uF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0805","LCSC","C28323","Samsung Electro-Mechanics","CL21B105KBFNNNE","C0805","1uF","50V","X7R","±10%","1574629","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.pdf"
