"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C14445","10V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0402","LCSC","C14445","Samsung Electro-Mechanics","CL05A105KP5NNNC","C0402","1uF","10V","X5R","±10%","49521182","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A105KP5NNNC_C14445.pdf"
"C60474","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C60474","YAGEO","CC0402KRX7R7BB104","C0402","100nF","16V","X7R","±10%","11073864","https://datasheet.lcsc.com/lcsc/2203221430_YAGEO-CC0402KRX7R7BB104_C60474.pdf"
"C77020","50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C77020","Murata Electronics","GRM155R71H104KE14D","C0402","100nF","50V","X7R","±10%","6380100","https://datasheet.lcsc.com/lcsc/1809272047_Murata-Electronics-GRM155R71H104KE14D_C77020.pdf"
"C15525","6.3V 10uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C0402","LCSC","C15525","Samsung Electro-Mechanics","CL05A106MQ5NUNC","C0402","10uF","6.3V","X5R","±20%","6003385","https://datasheet.lcsc.com/lcsc/2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf"
"C392963","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C392963","CCTC","TCC0402X7R104K160AT","C0402","100nF","16V","X7R","±10%","5578700","https://datasheet.lcsc.com/lcsc/2304140030_CCTC-TCC0402X7R104K160AT_C392963.pdf"
"C106205","50V 1nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1nF","symbol:C0402","footprint:C0402","LCSC","C106205","YAGEO","CC0402KRX7R9BB102","C0402","1nF","50V","X7R","±10%","4796796","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402KRX7R9BB102_C106205.pdf"
"C60133","50V 10nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0402","LCSC","C60133","YAGEO","CC0402KRX7R9BB103","C0402","10nF","50V","X7R","±10%","3848166","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402KRX7R9BB103_C60133.pdf"
"C12530","6.3V 2.2uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2.2uF","symbol:C0402","footprint:C0402","LCSC","C12530","Samsung Electro-Mechanics","CL05A225MQ5NSNC","C0402","2.2uF","6.3V","X5R","±20%","3523800","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A225MQ5NSNC_C12530.pdf"
"C152814","50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C152814","Walsin Tech Corp","0402B104K500CT","C0402","100nF","50V","X7R","±10%","3250800","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0402B104K500CT_C152814.pdf"
"C56392","25V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C56392","FH (Guangdong Fenghua Advanced Tech)","0402B104K250NT","C0402","100nF","25V","X7R","±10%","3097800","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B104K250NT_C56392.pdf"
"C327009","16V 10nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0402","LCSC","C327009","YAGEO","CC0402KRX7R7BB103","C0402","10nF","16V","X7R","±10%","3035015","https://datasheet.lcsc.com/lcsc/1811141241_YAGEO-CC0402KRX7R7BB103_C327009.pdf"
"C131394","50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C131394","YAGEO","CC0402KRX7R9BB104","C0402","100nF","50V","X7R","±10%","2956291","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402KRX7R9BB104_C131394.pdf"
"C3012376","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C3012376","HRE","CSA0402X7R104K160GT","C0402","100nF","16V","X7R","±10%","2810200","https://datasheet.lcsc.com/lcsc/2206071716_HRE-CSA0402X7R104K160GT_C3012376.pdf"
"C1546","50V 100pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100pF","symbol:C0402","footprint:C0402","LCSC","C1546","FH (Guangdong Fenghua Advanced Tech)","0402CG101J500NT","C0402","100pF","50V","C0G","±5%","2753400","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG101J500NT_C1546.pdf"
"C307331","50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C307331","Samsung Electro-Mechanics","CL05B104KB54PNC","C0402","100nF","50V","X7R","±10%","2640500","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf"
"C29266","16V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0402","LCSC","C29266","Samsung Electro-Mechanics","CL05A105KO5NNNC","C0402","1uF","16V","X5R","±10%","2512436","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A105KO5NNNC_C29266.pdf"
"C880604","16V 100nF X7R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C880604","CCTC","TCC0402X7R104M160AT","C0402","100nF","16V","X7R","±20%","2387400","https://datasheet.lcsc.com/lcsc/2304140030_CCTC-TCC0402X7R104M160AT_C880604.pdf"
"C1547","50V 12pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","12pF","symbol:C0402","footprint:C0402","LCSC","C1547","FH (Guangdong Fenghua Advanced Tech)","0402CG120J500NT","C0402","12pF","50V","C0G","±5%","2158301","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG120J500NT_C1547.pdf"
"C107005","50V 33pF NP0 ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","33pF","symbol:C0402","footprint:C0402","LCSC","C107005","YAGEO","CC0402JRNPO9BN330","C0402","33pF","50V","NP0","±5%","2063484","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402JRNPO9BN330_C107005.pdf"
"C328914","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C328914","PSA(Prosperity Dielectrics)","FN15X104K160PNG","C0402","100nF","16V","X7R","±10%","1989600","https://datasheet.lcsc.com/lcsc/2304140030_PSA-Prosperity-Dielectrics-FN15X104K160PNG_C328914.pdf"
"C77009","25V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0402","LCSC","C77009","Murata Electronics","GRM155R61E105KA12D","C0402","1uF","25V","X5R","±10%","1903495","https://datasheet.lcsc.com/lcsc/1811081616_Murata-Electronics-GRM155R61E105KA12D_C77009.pdf"
"C41851","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C41851","FH (Guangdong Fenghua Advanced Tech)","0402B104K160NT","C0402","100nF","16V","X7R","±10%","1830000","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B104K160NT_C41851.pdf"
"C107372","6.3V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0402","LCSC","C107372","Samsung Electro-Mechanics","CL05A105KQ5NNNC","C0402","1uF","6.3V","X5R","±10%","1829899","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A105KQ5NNNC_C107372.pdf"
"C83056","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C83056","Walsin Tech Corp","0402B104K160CT","C0402","100nF","16V","X7R","±10%","1804500","https://datasheet.lcsc.com/lcsc/1811011928_Walsin-Tech-Corp-0402B104K160CT_C83056.pdf"
"C106199","50V 10pF NP0 ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10pF","symbol:C0402","footprint:C0402","LCSC","C106199","YAGEO","CC0402JRNPO9BN100","C0402","10pF","50V","NP0","±5%","1626982","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402JRNPO9BN100_C106199.pdf"
"C105882","50V 100nF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C105882","YAGEO","CC0402KRX5R9BB104","C0402","100nF","50V","X5R","±10%","1615200","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402KRX5R9BB104_C105882.pdf"
"C2887020","10V 1uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0402","LCSC","C2887020","CCTC","TCC0402X5R105M100AT","C0402","1uF","10V","X5R","±20%","1559900","https://datasheet.lcsc.com/lcsc/2108201430_CCTC-TCC0402X5R105M100AT_C2887020.pdf"
"C110251","50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C110251","FH (Guangdong Fenghua Advanced Tech)","0402B104K500NT","C0402","100nF","50V","X7R","±10%","1538600","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B104K500NT_C110251.pdf"
"C60137","50V 47pF NP0 ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","47pF","symbol:C0402","footprint:C0402","LCSC","C60137","YAGEO","CC0402JRNPO9BN470","C0402","47pF","50V","NP0","±5%","1456896","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402JRNPO9BN470_C60137.pdf"
"C85858","50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C85858","Murata Electronics","GCM155R71H104KE02D","C0402","100nF","50V","X7R","±10%","1274100","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GCM155R71H104KE02D_C85858.pdf"
"C307423","6.3V 4.7uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C0402","LCSC","C307423","Samsung Electro-Mechanics","CL05A475MQ5NRNC","C0402","4.7uF","6.3V","X5R","±20%","1254462","https://datasheet.lcsc.com/lcsc/1810231822_Samsung-Electro-Mechanics-CL05A475MQ5NRNC_C307423.pdf"
"C272875","50V 47nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","47nF","symbol:C0402","footprint:C0402","LCSC","C272875","YAGEO","CC0402KRX7R9BB473","C0402","47nF","50V","X7R","±10%","1210000","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402KRX7R9BB473_C272875.pdf"
"C368809","10V 4.7uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C0402","LCSC","C368809","Samsung Electro-Mechanics","CL05A475KP5NRNC","C0402","4.7uF","10V","X5R","±10%","1136674","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A475KP5NRNC_C368809.pdf"
"C1555","50V 22pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","22pF","symbol:C0402","footprint:C0402","LCSC","C1555","FH (Guangdong Fenghua Advanced Tech)","0402CG220J500NT","C0402","22pF","50V","C0G","±5%","1109400","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG220J500NT_C1555.pdf"
"C155422","25V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C155422","Samsung Electro-Mechanics","CL05B104KA5NNNC","C0402","100nF","25V","X7R","±10%","1103097","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05B104KA5NNNC_C155422.pdf"
"C106861","50V 2.2nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2.2nF","symbol:C0402","footprint:C0402","LCSC","C106861","YAGEO","CC0402KRX7R9BB222","C0402","2.2nF","50V","X7R","±10%","1059094","https://datasheet.lcsc.com/lcsc/1810241335_YAGEO-CC0402KRX7R9BB222_C106861.pdf"
"C105883","25V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0402","LCSC","C105883","YAGEO","CC0402KRX7R8BB104","C0402","100nF","25V","X7R","±10%","1045792","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0402KRX7R8BB104_C105883.pdf"
"C76991","6.3V 10uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C0402","LCSC","C76991","Murata Electronics","GRM155R60J106ME44D","C0402","10uF","6.3V","X5R","±20%","1021450","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM155R60J106ME44D_C76991.pdf"
"C76999","10V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0402","LCSC","C76999","Murata Electronics","GRM155R61A105KE15D","C0402","1uF","10V","X5R","±10%","1011200","https://datasheet.lcsc.com/lcsc/1810201320_Murata-Electronics-GRM155R61A105KE15D_C76999.pdf"
