"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C17414","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 10kΩ 0805  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0805","LCSC","C17414","UNI-ROYAL(Uniroyal Elec)","0805W8F1002T5E","C0805","10kΩ","125mW","±1%","19667800","https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf"
"C17513","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 1kΩ 0805  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R0805","LCSC","C17513","UNI-ROYAL(Uniroyal Elec)","0805W8F1001T5E","C0805","1kΩ","125mW","±1%","10419000","https://datasheet.lcsc.com/lcsc/2205311800_UNI-ROYAL-Uniroyal-Elec-0805W8F1001T5E_C17513.pdf"
"C17673","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 4.7kΩ 0805  Chip Resistor - Surface Mount ROHS","Resistor","4K7","symbol:R0402","footprint:R0805","LCSC","C17673","UNI-ROYAL(Uniroyal Elec)","0805W8F4701T5E","C0805","4.7kΩ","125mW","±1%","9030100","https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf"
"C25612","125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 10kΩ 0805  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0805","LCSC","C25612","UNI-ROYAL(Uniroyal Elec)","0805W8J0103T5E","C0805","10kΩ","125mW","±5%","2383400","https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0805W8J0103T5E_C25612.pdf"
"C149504","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 100kΩ 0805  Chip Resistor - Surface Mount ROHS","Resistor","100K","symbol:R0402","footprint:R0805","LCSC","C149504","UNI-ROYAL(Uniroyal Elec)","0805W8F1003T5E","C0805","100kΩ","125mW","±1%","2005700","https://datasheet.lcsc.com/lcsc/2205312316_UNI-ROYAL-Uniroyal-Elec-0805W8F1003T5E_C149504.pdf"
"C25623","125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 1kΩ 0805  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R0805","LCSC","C25623","UNI-ROYAL(Uniroyal Elec)","0805W8J0102T5E","C0805","1kΩ","125mW","±5%","1967900","https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0805W8J0102T5E_C25623.pdf"
"C17477","125mW Thick Film Resistors 150V ±800ppm/℃ ±1% 0Ω 0805  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R0805","LCSC","C17477","UNI-ROYAL(Uniroyal Elec)","0805W8F0000T5E","C0805","0Ω","125mW","±1%","1472700","https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F0000T5E_C17477.pdf"
"C17415","125mW Thick Film Resistors 150V ±1% ±200ppm/℃ 10Ω 0805  Chip Resistor - Surface Mount ROHS","Resistor","10R","symbol:R0402","footprint:R0805","LCSC","C17415","UNI-ROYAL(Uniroyal Elec)","0805W8F100JT5E","C0805","10Ω","125mW","±1%","1235600","https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F100JT5E_C17415.pdf"
"C17408","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 100Ω 0805  Chip Resistor - Surface Mount ROHS","Resistor","100R","symbol:R0402","footprint:R0805","LCSC","C17408","UNI-ROYAL(Uniroyal Elec)","0805W8F1000T5E","C0805","100Ω","125mW","±1%","1100900","https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1000T5E_C17408.pdf"
"C25275","125mW Thick Film Resistors 150V ±5% 0Ω 0805  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R0805","LCSC","C25275","UNI-ROYAL(Uniroyal Elec)","0805W8J0000T5E","C0805","0Ω","125mW","±5%","1004400","https://datasheet.lcsc.com/lcsc/2205311845_UNI-ROYAL-Uniroyal-Elec-0805W8J0000T5E_C25275.pdf"
"C84376","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 10kΩ 0805  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0805","LCSC","C84376","YAGEO","RC0805FR-0710KL","C0805","10kΩ","125mW","±1%","981587","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0805FR-0710KL_C84376.pdf"
