"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C60491","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100kΩ 0402  Chip Resistor - Surface Mount ROHS","Resistor","100K","symbol:R0402","footprint:R0402","LCSC","C60491","YAGEO","RC0402FR-07100KL","C0402","100kΩ","62.5mW","±1%","10966253","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-07100KL_C60491.pdf"
"C60490","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0402","LCSC","C60490","YAGEO","RC0402FR-0710KL","C0402","10kΩ","62.5mW","±1%","9929000","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-0710KL_C60490.pdf"
"C25900","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 4.7kΩ 0402  Chip Resistor - Surface Mount ROHS","Resistor","4K7","symbol:R0402","footprint:R0402","LCSC","C25900","UNI-ROYAL(Uniroyal Elec)","0402WGF4701TCE","C0402","4.7kΩ","62.5mW","±1%","6504200","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF4701TCE_C25900.pdf"
"C25744","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0402","LCSC","C25744","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","C0402","10kΩ","62.5mW","±1%","5632300","https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf"
"C226166","62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 1kΩ 0402  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R0402","LCSC","C226166","FH (Guangdong Fenghua Advanced Tech)","RC-02W1001FT","C0402","1kΩ","62.5mW","±1%","3780800","https://datasheet.lcsc.com/lcsc/1811141734_FH--Guangdong-Fenghua-Advanced-Tech-RC-02W1001FT_C226166.pdf"
"C106231","62.5mW Thick Film Resistors 50V ±1% 0Ω 0402  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R0402","LCSC","C106231","YAGEO","RC0402FR-070RL","C0402","0Ω","62.5mW","±1%","3147702","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-070RL_C106231.pdf"
"C137860","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 510Ω 0402  Chip Resistor - Surface Mount ROHS","Resistor","510R","symbol:R0402","footprint:R0402","LCSC","C137860","YAGEO","RC0402JR-07510RL","C0402","510Ω","62.5mW","±5%","2680300","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402JR-07510RL_C137860.pdf"
"C138002","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 33Ω 0402  Chip Resistor - Surface Mount ROHS","Resistor","33R","symbol:R0402","footprint:R0402","LCSC","C138002","YAGEO","RC0402FR-0733RL","C0402","33Ω","62.5mW","±1%","2211686","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-0733RL_C138002.pdf"
"C138033","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1MΩ 0402  Chip Resistor - Surface Mount ROHS","Resistor","1M","symbol:R0402","footprint:R0402","LCSC","C138033","YAGEO","RC0402FR-071ML","C0402","1MΩ","62.5mW","±1%","2204190","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071ML_C138033.pdf"
"C11702","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R0402","LCSC","C11702","UNI-ROYAL(Uniroyal Elec)","0402WGF1001TCE","C0402","1kΩ","62.5mW","±1%","2102300","https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf"
