"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C2212487","25V 0.6pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","0.6pF","symbol:C0402","footprint:C0201","LCSC","C2212487","YAGEO","CQ0201ARNPO8BNR60","C0201","0.6pF","25V","NP0","","8750","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CQ0201ARNPO8BNR60_C2212487.pdf"
"C2894183","25V 8.2pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","8.2pF","symbol:C0402","footprint:C0201","LCSC","C2894183","Walsin Tech Corp","0201N8R2D250CT","C0201","8.2pF","25V","NP0","","8600","https://datasheet.lcsc.com/lcsc/2109071830_Walsin-Tech-Corp-0201N8R2D250CT_C2894183.pdf"
"C7419414","10V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C7419414","FOJAN","FCC0201X104K100ZT","C0201","100nF","10V","X5R","±10%","8700",""
"C3899136","25V 10nF X6S ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0201","LCSC","C3899136","Murata Electronics","GRM033C81E103KE14D","C0201","10nF","25V","X6S","±10%","8400","https://datasheet.lcsc.com/lcsc/2308111502_Murata-Electronics-GRM033C81E103KE14D_C3899136.pdf"
"C161398","25V 8pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","8pF","symbol:C0402","footprint:C0201","LCSC","C161398","Murata Electronics","GRM0335C1E8R0DA01D","C0201","8pF","25V","C0G","","8400","https://datasheet.lcsc.com/lcsc/1811081545_Murata-Electronics-GRM0335C1E8R0DA01D_C161398.pdf"
"C312113","50V 1.2pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.2pF","symbol:C0402","footprint:C0201","LCSC","C312113","Darfon Elec","C0603NP0129BGTS","C0201","1.2pF","50V","NP0","","8800","https://datasheet.lcsc.com/lcsc/2304140030_Darfon-Elec-C0603NP0129BGTS_C312113.pdf"
"C1855100","50V 0.3pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","0.3pF","symbol:C0402","footprint:C0201","LCSC","C1855100","YAGEO","CQ0201ARNPO9BNR30","C0201","0.3pF","50V","NP0","","8800","https://datasheet.lcsc.com/lcsc/2201041830_YAGEO-CQ0201ARNPO9BNR30_C1855100.pdf"
"C1864231","50V 1.2pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.2pF","symbol:C0402","footprint:C0201","LCSC","C1864231","Murata Electronics","GJM0335C1H1R2WB01D","C0201","1.2pF","50V","C0G","","8800","https://datasheet.lcsc.com/lcsc/2201271800_Murata-Electronics-GJM0335C1H1R2WB01D_C1864231.pdf"
"C2171564","10V 1.5nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.5nF","symbol:C0402","footprint:C0201","LCSC","C2171564","YAGEO","CC0201KRX5R6BB152","C0201","1.5nF","10V","X5R","±10%","8300","https://datasheet.lcsc.com/lcsc/2202040530_YAGEO-CC0201KRX5R6BB152_C2171564.pdf"
"C668510","25V 1.5pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.5pF","symbol:C0402","footprint:C0201","LCSC","C668510","Murata Electronics","GRM0335C1E1R5WA01D","C0201","1.5pF","25V","C0G","","8750","https://datasheet.lcsc.com/lcsc/2007241808_Murata-Electronics-GRM0335C1E1R5WA01D_C668510.pdf"
"C385007","50V 82pF C0G ±1% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","82pF","symbol:C0402","footprint:C0201","LCSC","C385007","Murata Electronics","GRM0335C1H820FA01D","C0201","82pF","50V","C0G","±1%","8600","https://datasheet.lcsc.com/lcsc/2209091800_Murata-Electronics-GRM0335C1H820FA01D_C385007.pdf"
"C501818","50V 8pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","8pF","symbol:C0402","footprint:C0201","LCSC","C501818","FH (Guangdong Fenghua Advanced Tech)","0201CG8R0C500NT","C0201","8pF","50V","C0G","","8300","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0201CG8R0C500NT_C501818.pdf"
"C730421","4V 220nF X6S ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","220nF","symbol:C0402","footprint:C0201","LCSC","C730421","Samsung Electro-Mechanics","CL03X224MR3NNNC","C0201","220nF","4V","X6S","±20%","8750","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL03X224MR3NNNC_C730421.pdf"
"C505506","50V 3pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","3pF","symbol:C0402","footprint:C0201","LCSC","C505506","YAGEO","CC0201CRNPO9BN3R0","C0201","3pF","50V","NP0","","8600","https://datasheet.lcsc.com/lcsc/2003312211_YAGEO-CC0201CRNPO9BN3R0_C505506.pdf"
"C384692","50V 2.7pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2.7pF","symbol:C0402","footprint:C0201","LCSC","C384692","Walsin Tech Corp","RF03N2R7A500CT","C0201","2.7pF","50V","NP0","","8800",""
"C126621","6.3V 47nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","47nF","symbol:C0402","footprint:C0201","LCSC","C126621","Murata Electronics","GRT033R60J473KE01D","C0201","47nF","6.3V","X5R","±10%","8700","https://datasheet.lcsc.com/lcsc/1811141821_Murata-Electronics-GRT033R60J473KE01D_C126621.pdf"
"C325442","50V 0.5pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","0.5pF","symbol:C0402","footprint:C0201","LCSC","C325442","YAGEO","CC0201CRNPO9BNR50","C0201","0.5pF","50V","NP0","","8500","https://datasheet.lcsc.com/lcsc/1811031142_YAGEO-CC0201CRNPO9BNR50_C325442.pdf"
"C526912","25V 1.2pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.2pF","symbol:C0402","footprint:C0201","LCSC","C526912","YAGEO","CC0201CRNPO8BN1R2","C0201","1.2pF","25V","NP0","","8500","https://datasheet.lcsc.com/lcsc/2005222136_YAGEO-CC0201CRNPO8BN1R2_C526912.pdf"
"C555374","50V 0.5pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","0.5pF","symbol:C0402","footprint:C0201","LCSC","C555374","Walsin Tech Corp","0201N0R5B500CT","C0201","0.5pF","50V","NP0","","8500","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0201N0R5B500CT_C555374.pdf"
"C301894","16V 1.5nF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.5nF","symbol:C0402","footprint:C0201","LCSC","C301894","FH (Guangdong Fenghua Advanced Tech)","0201B152K160NT","C0201","1.5nF","16V","X7R","±10%","8500","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0201B152K160NT_C301894.pdf"
"C180285","25V 0.2pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","0.2pF","symbol:C0402","footprint:C0201","LCSC","C180285","Walsin Tech Corp","RF03N0R2B250CT","C0201","0.2pF","25V","NP0","","8500","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-RF03N0R2B250CT_C180285.pdf"
"C710726","25V 1.3pF null 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.3pF","symbol:C0402","footprint:C0201","LCSC","C710726","Murata Electronics","GJM0335C1E1R3WB01D","C0201","1.3pF","25V","null","","8700","https://datasheet.lcsc.com/lcsc/2103241949_Murata-Electronics-GJM0335C1E1R3WB01D_C710726.pdf"
"C911095","10V 220nF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","220nF","symbol:C0402","footprint:C0201","LCSC","C911095","Darfon Elec","C0603X5R224MDTS","C0201","220nF","10V","X5R","±20%","8600","https://datasheet.lcsc.com/lcsc/2304140030_Darfon-Elec-C0603X5R224MDTS_C911095.pdf"
"C5246830","10V 2.2uF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2.2uF","symbol:C0402","footprint:C0201","LCSC","C5246830","Walsin Tech Corp","0201X225M100CT","C0201","2.2uF","10V","X5R","±20%","8550","https://datasheet.lcsc.com/lcsc/2211041800_Walsin-Tech-Corp-0201X225M100CT_C5246830.pdf"
"C505504","50V 180pF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","180pF","symbol:C0402","footprint:C0201","LCSC","C505504","YAGEO","CC0201KRX7R9BB181","C0201","180pF","50V","X7R","±10%","8400","https://datasheet.lcsc.com/lcsc/2003312211_YAGEO-CC0201KRX7R9BB181_C505504.pdf"
