"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C30926","50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0603","LCSC","C30926","FH (Guangdong Fenghua Advanced Tech)","0603B104K500NT","C0603","100nF","50V","X7R","±10%","48279731","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B104K500NT_C30926.pdf"
"C1591","50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0603","LCSC","C1591","Samsung Electro-Mechanics","CL10B104KB8NNNC","C0603","100nF","50V","X7R","±10%","43318038","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10B104KB8NNNC_C1591.pdf"
"C14663","50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0603","LCSC","C14663","YAGEO","CC0603KRX7R9BB104","C0603","100nF","50V","X7R","±10%","16139717","https://datasheet.lcsc.com/lcsc/2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf"
"C100042","50V 10nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0603","LCSC","C100042","YAGEO","CC0603KRX7R9BB103","C0603","10nF","50V","X7R","±10%","14031051","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0603KRX7R9BB103_C100042.pdf"
"C19702","10V 10uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C0603","LCSC","C19702","Samsung Electro-Mechanics","CL10A106KP8NNNC","C0603","10uF","10V","X5R","±10%","10051191","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf"
"C15849","50V 1uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0603","LCSC","C15849","Samsung Electro-Mechanics","CL10A105KB8NNNC","C0603","1uF","50V","X5R","±10%","5500771","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf"
"C1705","10V 4.7uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C0603","LCSC","C1705","Samsung Electro-Mechanics","CL10A475KP8NNNC","C0603","4.7uF","10V","X5R","±10%","5155515","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10A475KP8NNNC_C1705.pdf"
"C77055","50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0603","LCSC","C77055","Murata Electronics","GRM188R71H104KA93D","C0603","100nF","50V","X7R","±10%","4826391","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM188R71H104KA93D_C77055.pdf"
"C46219","50V 3pF C0G 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","3pF","symbol:C0402","footprint:C0603","LCSC","C46219","FH (Guangdong Fenghua Advanced Tech)","0603CG3R0C500NT","C0603","3pF","50V","C0G","","4677100","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG3R0C500NT_C46219.pdf"
"C1650","50V 2pF C0G 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2pF","symbol:C0402","footprint:C0603","LCSC","C1650","FH (Guangdong Fenghua Advanced Tech)","0603CG2R0C500NT","C0603","2pF","50V","C0G","","4583200","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG2R0C500NT_C1650.pdf"
