"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C2933588","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 127Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","127R","symbol:R0402","footprint:R1206","LCSC","C2933588","FOJAN","FRC1206F1270TS","C1206","127Ω","250mW","±1%","47100","https://datasheet.lcsc.com/lcsc/2308241113_FOJAN-FRC1206F1270TS_C2933588.pdf"
"C3000649","250mW Thick Film Resistors ±200ppm/℃ ±5% 15MΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","15M","symbol:R0402","footprint:R1206","LCSC","C3000649","FOJAN","FRG1206J156TS","C1206","15MΩ","250mW","±5%","47000","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRG1206J156TS_C3000649.pdf"
"C2907420","250mW Thick Film Resistors 200V ±5% ±200ppm/℃ 1.8Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","1R8","symbol:R0402","footprint:R1206","LCSC","C2907420","FOJAN","FRC1206J1R8 TS","C1206","1.8Ω","250mW","±5%","46700","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J1R8-TS_C2907420.pdf"
"C307948","250mW Thick Film Resistors 500V ±5% ±200ppm/℃ 220kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","220K","symbol:R0402","footprint:R1206","LCSC","C307948","ROHM Semicon","KTR18EZPJ224","C1206","220kΩ","250mW","±5%","47000","https://datasheet.lcsc.com/lcsc/1912111437_ROHM-Semicon-KTR18EZPJ224_C307948.pdf"
"C2907477","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 300kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","300K","symbol:R0402","footprint:R1206","LCSC","C2907477","FOJAN","FRC1206J304 TS","C1206","300kΩ","250mW","±5%","46700","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J304-TS_C2907477.pdf"
"C2934293","250mW Thick Film Resistors 500V ±1% ±300ppm/℃ 270mΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","270mR","symbol:R0402","footprint:R1206","LCSC","C2934293","FOJAN","FRL1206FR270TS","C1206","270mΩ","250mW","±1%","46600","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRL1206FR270TS_C2934293.pdf"
"C108083","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 1MΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","1M","symbol:R0402","footprint:R1206","LCSC","C108083","YAGEO","RC1206FR-071ML","C1206","1MΩ","250mW","±1%","46800","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC1206FR-071ML_C108083.pdf"
"C406729","250mW Thin Film Resistor 200V ±25ppm/℃ ±0.1% 10kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R1206","LCSC","C406729","Viking Tech","ARG06BTC1002","C1206","10kΩ","250mW","±0.1%","46600","https://datasheet.lcsc.com/lcsc/2304140030_Viking-Tech-ARG06BTC1002_C406729.pdf"
"C26030","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 1.5kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","1K5","symbol:R0402","footprint:R1206","LCSC","C26030","UNI-ROYAL(Uniroyal Elec)","1206W4F1501T5E","C1206","1.5kΩ","250mW","±1%","45800","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-1206W4F1501T5E_C26030.pdf"
"C2907522","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 6.8kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","6K8","symbol:R0402","footprint:R1206","LCSC","C2907522","FOJAN","FRC1206J682 TS","C1206","6.8kΩ","250mW","±5%","45300","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J682-TS_C2907522.pdf"
