"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C9807","25V 10uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C1206","LCSC","C9807","Samsung Electro-Mechanics","CL31A106KAHNNNE","C1206","10uF","25V","X5R","±10%","1115798","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31A106KAHNNNE_C9807.pdf"
"C12891","25V 22uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","22uF","symbol:C0402","footprint:C1206","LCSC","C12891","Samsung Electro-Mechanics","CL31A226KAHNNNE","C1206","22uF","25V","X5R","±10%","1101873","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31A226KAHNNNE_C12891.pdf"
"C9196","2kV 1nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1nF","symbol:C0402","footprint:C1206","LCSC","C9196","FH (Guangdong Fenghua Advanced Tech)","1206B102K202NT","C1206","1nF","2kV","X7R","±10%","984050","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-1206B102K202NT_C9196.pdf"
"C90146","16V 22uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","22uF","symbol:C0402","footprint:C1206","LCSC","C90146","Samsung Electro-Mechanics","CL31A226KOHNNNE","C1206","22uF","16V","X5R","±10%","643689","https://datasheet.lcsc.com/lcsc/1810311713_Samsung-Electro-Mechanics-CL31A226KOHNNNE_C90146.pdf"
"C15008","6.3V 100uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100uF","symbol:C0402","footprint:C1206","LCSC","C15008","Samsung Electro-Mechanics","CL31A107MQHNNNE","C1206","100uF","6.3V","X5R","±20%","547028","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31A107MQHNNNE_C15008.pdf"
"C90539","50V 1uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C1206","LCSC","C90539","FH (Guangdong Fenghua Advanced Tech)","1206B105K500NT","C1206","1uF","50V","X7R","±10%","486250","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-1206B105K500NT_C90539.pdf"
"C13585","50V 10uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C1206","LCSC","C13585","Samsung Electro-Mechanics","CL31A106KBHNNNE","C1206","10uF","50V","X5R","±10%","456724","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31A106KBHNNNE_C13585.pdf"
"C110253","50V 100nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C1206","LCSC","C110253","FH (Guangdong Fenghua Advanced Tech)","1206B104K500NT","C1206","100nF","50V","X7R","±10%","427000","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-1206B104K500NT_C110253.pdf"
"C116702","50V 10uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C1206","LCSC","C116702","FH (Guangdong Fenghua Advanced Tech)","1206X106K500NT","C1206","10uF","50V","X5R","±10%","424570","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-1206X106K500NT_C116702.pdf"
"C23631","2kV 1nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1nF","symbol:C0402","footprint:C1206","LCSC","C23631","YAGEO","CC1206KKX7RDBB102","C1206","1nF","2kV","X7R","±10%","414745","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC1206KKX7RDBB102_C23631.pdf"
"C1872","25V 4.7uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C1206","LCSC","C1872","Samsung Electro-Mechanics","CL31B475KAHNNNE","C1206","4.7uF","25V","X7R","±10%","397850","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31B475KAHNNNE_C1872.pdf"
"C398254","100V 1nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1nF","symbol:C0402","footprint:C1206","LCSC","C398254","IHHEC(HOLY STONE ENTERPRISE CO., LTD)","C1206X102K101T","C1206","1nF","100V","X7R","±10%","370150","https://datasheet.lcsc.com/lcsc/2304140030_IHHEC-HOLY-STONE-ENTERPRISE-CO---LTD-C1206X102K101T_C398254.pdf"
"C342827","16V 10uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C1206","LCSC","C342827","TDK","C3216X7R1C106KT000N","C1206","10uF","16V","X7R","±10%","369605","https://datasheet.lcsc.com/lcsc/2304140030_TDK-C3216X7R1C106KT000N_C342827.pdf"
"C97946","50V 100nF C0G ±5% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C1206","LCSC","C97946","Murata Electronics","GRM31C5C1H104JA01L","C1206","100nF","50V","C0G","±5%","332800","https://datasheet.lcsc.com/lcsc/1810201313_Murata-Electronics-GRM31C5C1H104JA01L_C97946.pdf"
"C13832","100V 1uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C1206","LCSC","C13832","Samsung Electro-Mechanics","CL31B105KCHNNNE","C1206","1uF","100V","X7R","±10%","305309","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31B105KCHNNNE_C13832.pdf"
"C1848","50V 1uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C1206","LCSC","C1848","Samsung Electro-Mechanics","CL31B105KBHNNNE","C1206","1uF","50V","X7R","±10%","292761","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31B105KBHNNNE_C1848.pdf"
"C94034","10V 47uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","47uF","symbol:C0402","footprint:C1206","LCSC","C94034","Murata Electronics","GRM31CR61A476ME15L","C1206","47uF","10V","X5R","±20%","292269","https://datasheet.lcsc.com/lcsc/1810201233_Murata-Electronics-GRM31CR61A476ME15L_C94034.pdf"
"C82601","50V 100nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C1206","LCSC","C82601","YAGEO","CC1206KRX7R9BB104","C1206","100nF","50V","X7R","±10%","255045","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC1206KRX7R9BB104_C82601.pdf"
"C110255","100V 100nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C1206","LCSC","C110255","FH (Guangdong Fenghua Advanced Tech)","1206B104K101NT","C1206","100nF","100V","X7R","±10%","249000","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-1206B104K101NT_C110255.pdf"
"C77085","6.3V 100uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100uF","symbol:C0402","footprint:C1206","LCSC","C77085","Murata Electronics","GRM31CR60J107ME39L","C1206","100uF","6.3V","X5R","±20%","239455","https://datasheet.lcsc.com/lcsc/1810201321_Murata-Electronics-GRM31CR60J107ME39L_C77085.pdf"
"C464972","50V 100nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C1206","LCSC","C464972","PSA(Prosperity Dielectrics)","FN31X104K500PXG","C1206","100nF","50V","X7R","±10%","237950","https://datasheet.lcsc.com/lcsc/2304140030_PSA-Prosperity-Dielectrics-FN31X104K500PXG_C464972.pdf"
