"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C86052","50V 4.7uF X7R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C1210","LCSC","C86052","Murata Electronics","GRM32ER71H475KA88L","C1210","4.7uF","50V","X7R","±10%","777200","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM32ER71H475KA88L_C86052.pdf"
"C21397","25V 22uF X7R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","22uF","symbol:C0402","footprint:C1210","LCSC","C21397","Murata Electronics","GRM32ER71E226KE15L","C1210","22uF","25V","X7R","±10%","407210","https://datasheet.lcsc.com/lcsc/2308111542_Murata-Electronics-GRM32ER71E226KE15L_C21397.pdf"
"C92834","25V 10uF X5R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C1210","LCSC","C92834","Taiyo Yuden","TMK325BJ106KN-T","C1210","10uF","25V","X5R","±10%","355610","https://datasheet.lcsc.com/lcsc/2211282300_Taiyo-Yuden-TMK325BJ106KN-T_C92834.pdf"
"C39232","25V 10uF X7R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C1210","LCSC","C39232","Samsung Electro-Mechanics","CL32B106KAJNNNE","C1210","10uF","25V","X7R","±10%","222670","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL32B106KAJNNNE_C39232.pdf"
"C2918506","16V 22uF X5R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","22uF","symbol:C0402","footprint:C1210","LCSC","C2918506","Samwha Capacitor","CS3225X5R226K160NRL","C1210","22uF","16V","X5R","±10%","162610","https://datasheet.lcsc.com/lcsc/2111172030_Samwha-Capacitor-CS3225X5R226K160NRL_C2918506.pdf"
"C309062","25V 22uF X7R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","22uF","symbol:C0402","footprint:C1210","LCSC","C309062","Samsung Electro-Mechanics","CL32B226KAJNNNE","C1210","22uF","25V","X7R","±10%","150039","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL32B226KAJNNNE_C309062.pdf"
"C49066","6.3V 100uF X5R ±20% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100uF","symbol:C0402","footprint:C1210","LCSC","C49066","Samsung Electro-Mechanics","CL32A107MQVNNNE","C1210","100uF","6.3V","X5R","±20%","124305","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL32A107MQVNNNE_C49066.pdf"
"C77102","50V 10uF X7R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C1210","LCSC","C77102","Murata Electronics","GRM32ER71H106KA12L","C1210","10uF","50V","X7R","±10%","113390","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM32ER71H106KA12L_C77102.pdf"
"C5252683","16V 47uF X7S ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","47uF","symbol:C0402","footprint:C1210","LCSC","C5252683","Samwha Capacitor","CS3225X7S476K160NRL","C1210","47uF","16V","X7S","±10%","105370","https://datasheet.lcsc.com/lcsc/2306061636_Samwha-Capacitor-CS3225X7S476K160NRL_C5252683.pdf"
"C77101","16V 47uF X5R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","47uF","symbol:C0402","footprint:C1210","LCSC","C77101","Murata Electronics","GRM32ER61C476KE15L","C1210","47uF","16V","X5R","±10%","95430","https://datasheet.lcsc.com/lcsc/2212021100_Murata-Electronics-GRM32ER61C476KE15L_C77101.pdf"
"C92769","16V 10uF X5R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10uF","symbol:C0402","footprint:C1210","LCSC","C92769","Taiyo Yuden","EMK325BJ106KN-T","C1210","10uF","16V","X5R","±10%","83240","https://datasheet.lcsc.com/lcsc/2211282300_Taiyo-Yuden-EMK325BJ106KN-T_C92769.pdf"
"C697607","100V 4.7uF X7S ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C1210","LCSC","C697607","Taiyo Yuden","HMK325C7475KN-TE","C1210","4.7uF","100V","X7S","±10%","82160","https://datasheet.lcsc.com/lcsc/2309191034_Taiyo-Yuden-HMK325C7475KN-TE_C697607.pdf"
"C6120033","100V 4.7uF X7R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C1210","LCSC","C6120033","HRE","CGA1210X7R475K101RT","C1210","4.7uF","100V","X7R","±10%","74730",""
"C268013","16V 22uF X5R ±20% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","22uF","symbol:C0402","footprint:C1210","LCSC","C268013","Taiyo Yuden","EMK325BJ226MM-P","C1210","22uF","16V","X5R","±20%","72970","https://datasheet.lcsc.com/lcsc/2304140030_Taiyo-Yuden-EMK325BJ226MM-P_C268013.pdf"
