"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C295794","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 33Ω 0201  Chip Resistor - Surface Mount ROHS","Resistor","33R","symbol:R0402","footprint:R0201","LCSC","C295794","YAGEO","RC0201FR-0733RL","C0201","33Ω","50mW","±1%","1589500","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0201FR-0733RL_C295794.pdf"
"C473473","50mW Thick Film Resistors 25V ±1% 0Ω 0201  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R0201","LCSC","C473473","UNI-ROYAL(Uniroyal Elec)","0201WMF0000TEE","C0201","0Ω","50mW","±1%","914500","https://datasheet.lcsc.com/lcsc/2205312145_UNI-ROYAL-Uniroyal-Elec-0201WMF0000TEE_C473473.pdf"
"C106228","50mW Thick Film Resistors 25V ±5% 0Ω 0201  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R0201","LCSC","C106228","YAGEO","RC0201JR-070RL","C0201","0Ω","50mW","±5%","801700","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0201JR-070RL_C106228.pdf"
"C473048","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 10kΩ 0201  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0201","LCSC","C473048","UNI-ROYAL(Uniroyal Elec)","0201WMF1002TEE","C0201","10kΩ","50mW","±1%","790800","https://datasheet.lcsc.com/lcsc/2205312145_UNI-ROYAL-Uniroyal-Elec-0201WMF1002TEE_C473048.pdf"
"C106225","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 10kΩ 0201  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0201","LCSC","C106225","YAGEO","RC0201FR-0710KL","C0201","10kΩ","50mW","±1%","748000","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0201FR-0710KL_C106225.pdf"
"C106224","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 100kΩ 0201  Chip Resistor - Surface Mount ROHS","Resistor","100K","symbol:R0402","footprint:R0201","LCSC","C106224","YAGEO","RC0201FR-07100KL","C0201","100kΩ","50mW","±1%","533711","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0201FR-07100KL_C106224.pdf"
"C295786","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 1MΩ 0201  Chip Resistor - Surface Mount ROHS","Resistor","1M","symbol:R0402","footprint:R0201","LCSC","C295786","YAGEO","RC0201FR-071ML","C0201","1MΩ","50mW","±1%","455700","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0201FR-071ML_C295786.pdf"
"C270365","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 1kΩ 0201  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R0201","LCSC","C270365","UNI-ROYAL(Uniroyal Elec)","0201WMF1001TEE","C0201","1kΩ","50mW","±1%","438800","https://datasheet.lcsc.com/lcsc/2205311945_UNI-ROYAL-Uniroyal-Elec-0201WMF1001TEE_C270365.pdf"
"C155743","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 22Ω 0201  Chip Resistor - Surface Mount ROHS","Resistor","22R","symbol:R0402","footprint:R0201","LCSC","C155743","YAGEO","RC0201FR-0722RL","C0201","22Ω","50mW","±1%","399100","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0201FR-0722RL_C155743.pdf"
"C106227","50mW Thick Film Resistors 25V ±1% 0Ω 0201  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R0201","LCSC","C106227","YAGEO","RC0201FR-070RL","C0201","0Ω","50mW","±1%","353100","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0201FR-070RL_C106227.pdf"
