"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C44451","500mW Thick Film Resistors 200V ±1% ±200ppm/℃ 10Ω 1210  Chip Resistor - Surface Mount ROHS","Resistor","10R","symbol:R0402","footprint:R1210","LCSC","C44451","UNI-ROYAL(Uniroyal Elec)","1210W2F100JT5E","C1210","10Ω","500mW","±1%","161600","https://datasheet.lcsc.com/lcsc/2206010000_UNI-ROYAL-Uniroyal-Elec-1210W2F100JT5E_C44451.pdf"
"C473562","500mW Thick Film Resistors 200V ±5% ±200ppm/℃ 10Ω 1210  Chip Resistor - Surface Mount ROHS","Resistor","10R","symbol:R0402","footprint:R1210","LCSC","C473562","UNI-ROYAL(Uniroyal Elec)","1210W2J0100T5E","C1210","10Ω","500mW","±5%","98100","https://datasheet.lcsc.com/lcsc/2206011100_UNI-ROYAL-Uniroyal-Elec-1210W2J0100T5E_C473562.pdf"
"C2960878","333.333mW Thick Film Resistors 200V ±5% ±200ppm/℃ 2Ω 1210  Chip Resistor - Surface Mount ROHS","Resistor","2R","symbol:R0402","footprint:R1210","LCSC","C2960878","FOJAN","FRC1210J2R0 TS","C1210","2Ω","333.333mW","±5%","79500","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1210J2R0-TS_C2960878.pdf"
"C3000602","333.333mW Thick Film Resistors 200V ±100ppm/℃ ±5% 1.5kΩ 1210  Chip Resistor - Surface Mount ROHS","Resistor","1K5","symbol:R0402","footprint:R1210","LCSC","C3000602","FOJAN","FRC1210J152TS","C1210","1.5kΩ","333.333mW","±5%","77000","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1210J152TS_C3000602.pdf"
"C2934332","333.333mW Thick Film Resistors 500V ±5% ±300ppm/℃ 390mΩ 1210  Chip Resistor - Surface Mount ROHS","Resistor","390mR","symbol:R0402","footprint:R1210","LCSC","C2934332","FOJAN","FRL1210JR390TS","C1210","390mΩ","333.333mW","±5%","67900","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRL1210JR390TS_C2934332.pdf"
"C2934329","333.333mW Thick Film Resistors 500V ±5% ±300ppm/℃ 300mΩ 1210  Chip Resistor - Surface Mount ROHS","Resistor","300mR","symbol:R0402","footprint:R1210","LCSC","C2934329","FOJAN","FRL1210JR300TS","C1210","300mΩ","333.333mW","±5%","66500","https://datasheet.lcsc.com/lcsc/2201181800_FOJAN-FRL1210JR300TS_C2934329.pdf"
"C3000631","333.333mW Thick Film Resistors 200V ±100ppm/℃ ±5% 3kΩ 1210  Chip Resistor - Surface Mount ROHS","Resistor","3K","symbol:R0402","footprint:R1210","LCSC","C3000631","FOJAN","FRC1210J302TS","C1210","3kΩ","333.333mW","±5%","63500","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1210J302TS_C3000631.pdf"
"C2934311","333.333mW Thick Film Resistors 500V ±1% ±1200ppm/℃ 160mΩ 1210  Chip Resistor - Surface Mount ROHS","Resistor","160mR","symbol:R0402","footprint:R1210","LCSC","C2934311","FOJAN","FRL1210FR160TS","C1210","160mΩ","333.333mW","±1%","62350","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRL1210FR160TS_C2934311.pdf"
"C5154013","333.333mW Thick Film Resistors 200V ±100ppm/℃ ±5% 330Ω 1210  Chip Resistor - Surface Mount ROHS","Resistor","330R","symbol:R0402","footprint:R1210","LCSC","C5154013","FOJAN","FRC1210J331TS","C1210","330Ω","333.333mW","±5%","60500","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1210J331TS_C5154013.pdf"
"C2930440","333.333mW Thick Film Resistors 200V ±100ppm/℃ ±5% 3.6kΩ 1210  Chip Resistor - Surface Mount ROHS","Resistor","3K6","symbol:R0402","footprint:R1210","LCSC","C2930440","FOJAN","FRC1210J362TS","C1210","3.6kΩ","333.333mW","±5%","59200","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1210J362TS_C2930440.pdf"
